"n","scheme","nu","p","q","test","power","se","crit","R0","R1"
50,"linear",0.7,2,2,"dCov",0.7532,0.0043114934767433,0.332307404933143,10000,10000
50,"linear",0.7,2,2,"HHG",0.5315,0.00499006763481218,3469.36394625063,10000,10000
50,"linear",0.7,2,2,"Genest",0.7375,0.00439992897669951,0.0577002222222199,10000,10000
50,"linear",0.7,2,2,"MIC",0.3275,0.00469301342422968,0.401572991804284,10000,10000
50,"linear",0.7,2,1,"B_n",0.6693,0.00470465205939823,6.08110375654383,10000,10000
50,"linear",0.7,2,1,"P_n",0.6693,0.00470465205939823,6.06822689962494,10000,10000
50,"linear",0.7,2,1,"Hoeffding",0.729,0.00444476096095167,0.0201161528441164,10000,10000
50,"linear",0.7,2,1,"dCov",0.7706,0.00420446952658715,0.327883248463591,10000,10000
50,"linear",0.7,2,1,"HHG",0.534,0.00498842660565433,3432.61055957132,10000,10000
50,"linear",0.7,2,1,"Genest",0.7474,0.00434503440722855,0.0567391022222198,10000,10000
50,"linear",0.7,2,1,"MIC",0.3272,0.00469190963254835,0.4,10000,10000
50,"linear",0.8,2,2,"B_n",0.4365,0.00495951358502021,9.40631433602307,10000,10000
50,"linear",0.8,2,2,"P_n",0.4363,0.00495925710162319,9.29361192321125,10000,10000
50,"linear",0.8,2,2,"Hoeffding",0.5914,0.00491575060392612,0.021306330117616,10000,10000
50,"linear",0.8,2,2,"dCov",0.6469,0.00477933457711427,0.329333923843083,10000,10000
50,"linear",0.8,2,2,"HHG",0.4156,0.00492825161695301,3463.49426630351,10000,10000
50,"linear",0.8,2,2,"Genest",0.6169,0.00486142355694297,0.0580495502222218,10000,10000
50,"linear",0.8,2,2,"MIC",0.2433,0.0042907471377372,0.4023246627788,10000,10000
50,"linear",0.8,2,1,"B_n",0.5525,0.00497236110917138,6.07293438852343,10000,10000
50,"linear",0.8,2,1,"P_n",0.5525,0.00497236110917138,6.06059015435521,10000,10000
50,"linear",0.8,2,1,"Hoeffding",0.6055,0.00488743030640847,0.0206992533368574,10000,10000
50,"linear",0.8,2,1,"dCov",0.6502,0.00476906657533736,0.330346726344988,10000,10000
50,"linear",0.8,2,1,"HHG",0.4175,0.00493146783422542,3469.67631558009,10000,10000
50,"linear",0.8,2,1,"Genest",0.6284,0.00483232283689739,0.0572396782222214,10000,10000
50,"linear",0.8,2,1,"MIC",0.2489,0.00432375750938926,0.402469838463622,10000,10000
50,"linear",0.9,2,2,"B_n",0.3305,0.00470393186600316,9.59324461035859,10000,10000
50,"linear",0.9,2,2,"P_n",0.3284,0.00469631174433725,9.48141309732389,10000,10000
50,"linear",0.9,2,2,"Hoeffding",0.5122,0.00499851137840057,0.0198915875323302,10000,10000
50,"linear",0.9,2,2,"dCov",0.5449,0.00497979909233294,0.328525076575582,10000,10000
50,"linear",0.9,2,2,"HHG",0.337,0.00472684884463212,3444.4669745462,10000,10000
50,"linear",0.9,2,2,"Genest",0.5293,0.00499140771726774,0.0563850862222236,10000,10000
50,"linear",0.9,2,2,"MIC",0.2026,0.00401936860713222,0.4,10000,10000
50,"linear",0.9,2,1,"B_n",0.4568,0.00498130264087618,5.99725057091974,10000,10000
50,"linear",0.9,2,1,"P_n",0.4568,0.00498130264087618,5.98977755841461,10000,10000
50,"linear",0.9,2,1,"Hoeffding",0.5092,0.00499915352834857,0.0207607043742566,10000,10000
50,"linear",0.9,2,1,"dCov",0.5434,0.00498112878773476,0.329876567619595,10000,10000
50,"linear",0.9,2,1,"HHG",0.3318,0.00470859596907613,3475.80674257271,10000,10000
50,"linear",0.9,2,1,"Genest",0.5205,0.00499579573241341,0.0577787822222224,10000,10000
50,"linear",0.9,2,1,"MIC",0.1996,0.00399699687265327,0.401679862252295,10000,10000
50,"linear",1,2,2,"B_n",0.2848,0.0045131913320842,9.55070644737193,10000,10000
50,"linear",1,2,2,"P_n",0.2876,0.00452643612569536,9.39048208709669,10000,10000
50,"linear",1,2,2,"Hoeffding",0.4262,0.00494523568700219,0.0212178585587796,10000,10000
50,"linear",1,2,2,"dCov",0.4653,0.00498794456665268,0.330298914053028,10000,10000
50,"linear",1,2,2,"HHG",0.2783,0.00448161923862347,3487.12027356473,10000,10000
50,"linear",1,2,2,"Genest",0.4374,0.00496065761769546,0.0585709902222199,10000,10000
50,"linear",1,2,2,"MIC",0.1702,0.00375808408633974,0.400898873974374,10000,10000
50,"linear",1,2,1,"B_n",0.3744,0.00483967602221471,6.06554088931404,10000,10000
50,"linear",1,2,1,"P_n",0.3744,0.00483967602221471,6.0536775854307,10000,10000
50,"linear",1,2,1,"Hoeffding",0.427,0.00494642294997102,0.0207279257679019,10000,10000
50,"linear",1,2,1,"dCov",0.4653,0.00498794456665268,0.329177872044215,10000,10000
50,"linear",1,2,1,"HHG",0.278,0.00448013392656961,3455.53006858154,10000,10000
50,"linear",1,2,1,"Genest",0.4421,0.00496636275356523,0.0576808782222221,10000,10000
50,"linear",1,2,1,"MIC",0.1714,0.00376858116537245,0.401427562881575,10000,10000
50,"linear",1.1,2,2,"B_n",0.2487,0.00432259540091367,9.36183091870196,10000,10000
50,"linear",1.1,2,2,"P_n",0.2463,0.00430855323745686,9.26528729833796,10000,10000
50,"linear",1.1,2,2,"Hoeffding",0.3697,0.00482723430133653,0.0206349704544167,10000,10000
50,"linear",1.1,2,2,"dCov",0.3917,0.00488130218281966,0.330337395491543,10000,10000
50,"linear",1.1,2,2,"HHG",0.2416,0.00428053080820592,3448.76068747656,10000,10000
50,"linear",1.1,2,2,"Genest",0.3793,0.00485212850200817,0.0579140782222225,10000,10000
50,"linear",1.1,2,2,"MIC",0.1405,0.00347505035934733,0.401925020811018,10000,10000
50,"linear",1.1,2,1,"B_n",0.3054,0.00460576638573864,6.14961192517797,10000,10000
50,"linear",1.1,2,1,"P_n",0.3054,0.00460576638573864,6.13221610095696,10000,10000
50,"linear",1.1,2,1,"Hoeffding",0.3533,0.0047799488490987,0.021578564820933,10000,10000
50,"linear",1.1,2,1,"dCov",0.3843,0.00486429347387676,0.332483608021295,10000,10000
50,"linear",1.1,2,1,"HHG",0.2358,0.00424497773845753,3458.77341914481,10000,10000
50,"linear",1.1,2,1,"Genest",0.3651,0.00481458191331293,0.0587989582222221,10000,10000
50,"linear",1.1,2,1,"MIC",0.1434,0.00350480299018361,0.4,10000,10000
50,"linear",1.2,2,2,"B_n",0.2181,0.00412955675587587,9.36419041349932,10000,10000
50,"linear",1.2,2,2,"P_n",0.217,0.00412202620079009,9.28974562259517,10000,10000
